Id;param_id;time;channel;amplitude;duration;energy;rms;status;threshold;rise_time;counts;trai;spectral_centroid_khz;peak_frequency_khz;clearance_factor;crest_factor;impulse_factor;kurtosis;partial_power_100_400khz;shape_factor;skewness;spectral_entropy;spectral_flatness;spectral_kurtosis;spectral_peak_frequency_hz;spectral_rolloff_hz
12;3;48.0266022;2;74.0;399.6;222003.173828125;2357.2;32768;69.9;277.2;2;1;48.6;70.3;6.32;3.77;5.05;3.93;0.0277;1.34;-0.17;0.5582;0.0074;144.74;70312.5;88867.2
25;3;100.1220829;2;77.3;144.9;170985.107421875;3435.5;32768;69.9;35.8;9;2;106.8;69.3;20.21;5.91;11.65;13.96;0.426;1.97;0.18;0.6547;0.0473;38.85;69335.9;150390.6
26;3;102.2440963;2;82.0;247.6;433319.091796875;4183.0;32768;69.9;36.4;18;3;112.9;59.6;17.72;6.02;11.31;13.0;0.6449;1.88;-0.16;0.594;0.0205;76.59;59570.3;151367.2
27;2;102.2441206;1;73.4;61.3;84987.548828125;3723.3;32768;69.9;1.1;1;4;376.3;1.1;98.14;24.33;46.56;78.82;0.2158;1.91;-0.18;0.8775;0.4296;1.66;1129.2;946044.9
48;3;203.6631813;2;71.1;1.7;23413.0859375;11736.1;32768;69.9;0.2;0;5;223.0;69.3;27.38;7.46;14.62;19.19;0.1467;1.96;-0.33;0.7656;0.2639;3.67;69335.9;914062.5
103;3;475.5319556;2;74.2;102.8;65680.6640625;2527.2;32768;69.9;69.4;2;6;130.0;126.0;23.2;6.37;12.34;11.76;0.2944;1.94;-0.41;0.674;0.1214;13.08;125976.6;591796.9
134;3;625.6273138;2;73.1;46.0;61094.7265625;3644.4;32768;69.9;4.6;3;7;102.7;25.4;17.77;6.25;10.8;10.39;0.2596;1.73;0.12;0.6371;0.0856;18.29;25390.6;403320.3
149;3;699.3755907999999;2;74.0;53.8;83330.56640625;3935.2;32768;69.9;11.8;5;8;88.8;25.4;16.07;5.87;10.06;9.72;0.25;1.71;-0.0;0.601;0.0533;28.64;25390.6;143554.7
152;3;703.9847629;2;70.3;0.4;37645.5078125;30678.0;32768;69.9;0.1;0;9;129.3;25.4;16.89;6.06;10.23;9.45;0.2604;1.69;-0.24;0.679;0.125;11.42;25390.6;677734.4
153;3;708.5943778999999;2;70.7;1.1;41738.28125;19479.6;32768;69.9;0.3;0;10;107.3;25.4;16.51;5.91;10.01;9.82;0.2066;1.69;-0.08;0.6499;0.1002;15.42;25390.6;516601.6
164;3;759.2931461;2;72.2;40.5;51546.875;3567.6;32768;69.9;4.4;2;11;115.3;25.4;17.66;6.14;10.66;10.76;0.2738;1.74;-0.18;0.6472;0.0947;15.56;25390.6;525390.6
181;3;833.028543;2;74.5;54.2;80149.4140625;3845.1;32768;69.9;11.8;5;12;102.5;25.4;19.1;6.38;11.55;12.45;0.2815;1.81;-0.19;0.6373;0.0669;22.62;25390.6;267578.1
254;3;1194.0825654999999;2;70.3;0.4;26165.52734375;25576.4;32768;69.9;0.1;0;13;197.6;58.6;22.42;6.36;12.05;13.24;0.1633;1.89;-0.19;0.743;0.2336;4.72;58593.8;871093.8
261;3;1227.1402805999999;2;72.2;40.8;45246.58203125;3330.0;32768;69.9;0.7;2;14;189.0;87.9;27.37;6.9;14.1;16.8;0.2152;2.04;0.25;0.7515;0.2149;5.47;87890.6;833984.4
356;2;1700.5044994;1;74.5;287.8;223637.451171875;2787.3;32768;69.9;41.9;3;15;484.3;69.6;115.02;19.02;47.78;78.93;0.2767;2.51;1.38;0.9552;0.5489;1.67;69610.6;958892.8
387;3;1844.1019434999998;2;80.5;227.4;363581.54296875;3998.7;32768;69.9;49.8;12;16;78.4;57.6;22.43;5.73;12.02;12.79;0.1437;2.1;0.2;0.5918;0.0275;64.1;57617.2;131835.9
388;3;1848.7058444;2;73.7;41.3;73900.87890625;4230.1;32768;69.9;32.5;3;17;120.3;57.6;22.91;6.07;12.1;12.17;0.1147;1.99;0.19;0.6233;0.1194;12.07;57617.2;657226.6
391;3;1857.9148791;2;78.5;132.0;203545.654296875;3927.0;32768;69.9;39.1;9;18;88.5;57.6;23.37;6.08;12.54;13.1;0.1297;2.06;0.19;0.6055;0.055;33.25;57617.2;150390.6
432;3;2059.3769841;2;70.3;15.5;44102.294921875;5334.0;32768;69.9;0.1;0;19;80.4;5.9;12.68;5.09;8.38;9.29;0.0682;1.65;-0.14;0.6403;0.0909;15.93;5859.4;511718.8
451;3;2143.442021;2;70.3;0.2;32928.7109375;40576.0;32768;69.9;0.1;1;20;188.0;60.5;24.44;6.57;12.83;15.25;0.2046;1.95;-0.2;0.7159;0.1985;5.69;60546.9;860351.6
458;3;2176.0378129;2;70.7;1.4;39720.21484375;16843.8;32768;69.9;0.1;0;21;161.2;69.3;23.33;6.25;12.16;12.69;0.1234;1.95;-0.52;0.7409;0.1809;6.9;69335.9;842773.4
503;3;2396.8363765999998;2;70.3;0.5;27818.603515625;23587.8;32768;69.9;0.1;1;22;219.4;60.5;26.64;7.19;13.92;15.86;0.2065;1.94;0.11;0.7783;0.2657;4.23;60546.9;880859.4
506;3;2406.0461775;2;76.9;116.6;98314.697265625;2904.1;32768;69.9;14.1;5;23;119.9;60.5;28.25;7.39;15.33;18.07;0.2382;2.08;0.38;0.6727;0.0954;17.42;60546.9;482421.9
511;3;2424.4616576999997;2;70.7;5.8;33637.20703125;7615.5;32768;69.9;4.6;1;24;198.4;69.3;25.72;6.88;13.45;16.08;0.2473;1.96;0.17;0.7362;0.2131;5.37;69335.9;851562.5
526;3;2498.0536380999997;2;75.7;217.3;161755.126953125;2727.9;32768;69.9;14.4;4;25;48.7;12.7;11.95;5.05;8.19;8.07;0.0478;1.62;-0.02;0.5891;0.0228;76.42;12695.3;107421.9
529;3;2502.6578593;2;76.5;304.6;177344.23828125;2412.5;32768;69.9;80.0;9;26;51.5;12.7;12.05;5.17;8.26;6.98;0.0796;1.6;0.08;0.6032;0.0184;84.21;12695.3;113281.2
532;3;2511.8656684;2;84.9;422.4;1186170.8984375;5299.2;32768;69.9;114.8;24;27;57.9;12.7;13.25;5.19;8.78;8.09;0.1197;1.69;0.22;0.6163;0.004;110.17;12695.3;118164.1
533;3;2521.0722763;2;71.1;2.2;48654.052734375;14871.6;32768;69.9;0.3;1;28;50.3;12.7;12.61;5.96;8.91;7.48;0.0275;1.5;0.48;0.5117;0.0535;26.39;12695.3;224609.4
582;3;2755.9134402;2;71.5;33.4;38079.345703125;3376.1;32768;69.9;5.6;1;29;194.0;69.3;22.96;7.0;13.09;15.3;0.1952;1.87;-0.08;0.7439;0.2183;5.2;69335.9;849609.4
625;3;2963.0591649999997;2;74.5;46.6;66616.69921875;3780.6;32768;69.9;13.6;3;30;133.4;69.3;27.94;7.01;14.39;16.75;0.1967;2.05;-0.01;0.6705;0.1232;12.36;69335.9;650390.6
626;3;2967.6612259999997;2;70.7;1.5;30169.921875;14182.4;32768;69.9;0.2;1;31;191.3;60.5;26.27;7.18;13.82;15.95;0.2353;1.92;0.21;0.7379;0.224;5.52;60546.9;847656.2
631;3;2986.1437063999997;2;78.2;131.2;204470.21484375;3947.5;32768;69.9;29.4;12;32;113.0;127.0;17.02;5.91;10.92;12.87;0.5349;1.85;-0.07;0.6354;0.0439;38.56;126953.1;154296.9
632;2;2986.1437105;1;72.8;2.4;59166.748046875;15701.0;32768;69.9;0.9;1;33;418.2;1.3;99.27;25.82;46.4;56.44;0.2394;1.8;0.85;0.9144;0.4738;1.62;1251.2;953979.5
655;3;3098.9741902;2;82.5;234.0;399464.35546875;4131.8;32768;69.9;9.9;16;34;103.7;88.9;22.78;6.74;13.46;14.6;0.4469;2.0;0.29;0.6294;0.0218;81.71;88867.2;142578.1
660;3;3112.797369;2;70.3;0.3;26367.1875;29646.8;32768;69.9;0.1;1;35;222.3;88.9;23.54;6.85;12.88;14.32;0.3452;1.88;0.74;0.7725;0.2471;4.41;88867.2;888671.9
681;3;3216.2135442999997;2;71.8;31.2;46499.0234375;3860.5;32768;69.9;11.6;3;36;215.6;125.0;23.59;6.27;12.57;15.08;0.6126;2.01;0.11;0.7427;0.2123;5.97;125000.0;833984.4
712;3;3371.3087610999996;2;70.7;2.0;51717.041015625;16080.9;32768;69.9;0.2;0;37;87.1;69.3;12.47;5.05;8.17;7.35;0.0737;1.62;0.07;0.6552;0.0808;17.47;69335.9;468750.0
717;3;3386.0045808;2;70.7;33.1;33327.63671875;3173.4;32768;69.9;0.6;2;38;208.9;59.6;27.04;7.01;13.73;16.38;0.1803;1.96;0.4;0.6869;0.225;4.54;59570.3;874023.4
722;3;3403.3898575999997;2;70.3;0.7;28881.8359375;20312.1;32768;69.9;0.1;0;39;167.9;1.0;20.34;7.1;11.98;10.72;0.2273;1.69;-0.25;0.7578;0.1981;6.13;976.6;849609.4
723;3;3407.1415712;2;75.2;83.7;63952.880859375;2763.8;32768;69.9;27.1;4;40;177.7;88.9;36.44;7.94;17.74;21.48;0.3364;2.23;-0.18;0.694;0.1707;7.87;88867.2;789062.5
726;3;3416.302525;2;129.6;7321.2;12298002787.841797;129606.7;32768;69.9;2702.9;249;41;95.9;127.0;28.55;7.58;16.0;16.83;0.4142;2.11;-0.12;0.5944;0.0077;127.09;126953.1;136718.8
727;2;3416.3051698;1;102.8;2978.8;58618549.8046875;14027.8;32768;69.9;40.5;77;42;328.6;5.5;857.92;32.36;204.18;358.5;0.1897;6.31;-0.09;0.8505;0.3836;1.86;5462.6;940521.2
730;3;3427.6661003;2;70.3;5.0;34106.93359375;8259.6;32768;69.9;0.1;1;43;201.5;59.6;23.21;6.69;12.77;15.37;0.2027;1.91;-0.32;0.7477;0.2326;4.71;59570.3;864257.8
825;3;3896.886716;2;76.9;197.4;207332.275390625;3241.0;32768;69.9;4.5;15;44;111.7;127.0;11.96;5.11;8.42;8.83;0.6215;1.65;0.13;0.6366;0.0271;56.94;126953.1;154296.9
826;2;3896.8868082999998;1;71.5;69.5;72769.04296875;3235.8;32768;69.9;0.3;2;45;476.9;0.6;93.93;20.65;41.15;66.02;0.2799;1.99;0.22;0.9496;0.5363;1.68;579.8;960113.5
843;3;3979.7866436;2;85.5;6139.1;2317214.84375;1942.5;32768;69.9;5415.1;89;46;109.3;127.0;13.61;6.13;9.73;9.78;0.6241;1.59;0.04;0.5889;0.0078;104.57;126953.1;153320.3
844;2;3979.7867305;1;77.9;5992.4;589390.380859375;992.3;32768;69.9;5434.5;24;47;180.0;11.3;126.12;18.05;50.82;73.75;0.2229;2.82;0.31;0.8089;0.2115;4.67;11261.0;861053.5
855;3;4025.6758826;2;80.8;157.0;278291.259765625;4209.7;32768;69.9;16.9;8;48;80.7;60.5;27.02;6.76;14.49;17.82;0.0848;2.14;0.18;0.4843;0.0324;52.83;60546.9;125000.0
886;3;4177.5268827;2;70.3;0.2;23537.109375;34305.0;32768;69.9;0.1;1;49;266.4;60.5;25.98;6.7;13.29;17.3;0.2479;1.98;0.31;0.7938;0.3167;2.99;60546.9;921875.0
943;3;4454.8795128;2;70.3;0.1;39267.578125;62663.7;32768;69.9;0.1;0;50;76.5;13.7;12.57;5.64;8.66;8.04;0.0619;1.53;-0.03;0.6103;0.0775;20.06;13671.9;371093.8
944;3;4459.4810089;2;71.1;5.2;45995.849609375;9405.4;32768;69.9;4.1;1;51;74.4;13.7;13.36;5.94;9.2;8.49;0.0771;1.55;-0.13;0.6067;0.0662;22.43;13671.9;295898.4
947;3;4464.0825537;2;70.7;0.8;40516.6015625;22504.4;32768;69.9;0.3;0;52;76.1;13.7;13.81;6.06;9.4;8.64;0.0741;1.55;-0.09;0.6104;0.0739;19.96;13671.9;361328.1
990;3;4679.5230277;2;70.3;0.5;28575.1953125;23906.3;32768;69.9;0.1;1;53;204.3;69.3;24.97;7.01;13.36;15.83;0.2429;1.91;0.06;0.733;0.2145;5.04;69335.9;872070.3
1013;3;4785.1513476;2;77.1;90.1;138876.220703125;3926.0;32768;69.9;8.3;9;54;101.9;58.6;14.68;6.32;10.44;11.99;0.4295;1.65;-0.08;0.639;0.0407;42.61;58593.8;152343.8
1036;3;4899.9887868999995;2;70.3;0.1;22425.29296875;47354.9;32768;69.9;0.1;1;55;271.5;60.5;27.11;7.02;13.74;16.63;0.1951;1.96;0.42;0.7614;0.3187;2.74;60546.9;909179.7
1091;2;5165.8360133;1;70.3;0.1;35013.18359375;59171.8;32768;69.9;0.1;1;56;481.1;70.0;82.56;20.51;36.9;61.82;0.2781;1.8;-0.37;0.9545;0.5451;1.67;70007.3;959472.7
1112;3;5268.2239610999995;2;70.7;6.4;34151.123046875;7305.2;32768;69.9;5.6;1;57;168.0;60.5;20.12;6.32;11.53;13.01;0.2531;1.83;0.23;0.7358;0.1881;7.36;60546.9;793945.3
1123;3;5314.4390685;2;86.0;338.1;1141636.71875;5811.2;32768;69.9;29.1;33;58;114.7;129.9;16.91;5.99;11.12;12.9;0.7069;1.85;-0.08;0.5578;0.0086;109.76;129882.8;151367.2
1124;2;5314.4391015;1;82.2;573.4;340660.400390625;2437.1;32768;69.9;28.7;18;59;472.5;0.3;262.26;37.92;109.83;238.62;0.2713;2.9;1.55;0.9456;0.5306;1.66;274.7;957153.3
1179;2;5584.5734843;1;72.8;85.3;109191.89453125;3577.9;32768;69.9;82.9;3;60;487.3;69.9;103.17;20.6;44.65;86.9;0.2764;2.17;0.52;0.9545;0.5461;1.69;69946.3;960266.1
1188;2;5630.5918179;1;71.8;84.3;85830.810546875;3190.8;32768;69.9;82.3;3;61;486.8;1.2;97.44;20.18;42.24;88.47;0.2839;2.09;0.29;0.9552;0.5456;1.67;1159.7;962707.5
1211;3;5736.928773799999;2;72.8;11.9;61903.3203125;7212.0;32768;69.9;1.1;1;62;68.0;25.4;16.01;5.78;9.78;8.35;0.0538;1.69;0.1;0.5558;0.0643;25.32;25390.6;218750.0
1244;3;5898.554872;2;75.7;39.8;76299.31640625;4378.6;32768;69.9;5.5;2;63;136.0;60.5;32.67;7.46;16.13;19.57;0.1548;2.16;0.38;0.619;0.1256;11.16;60546.9;679687.5
1275;3;6048.886852199999;2;81.7;280.8;293842.529296875;3234.8;32768;69.9;8.5;17;64;121.1;128.9;24.15;7.25;14.19;14.84;0.7483;1.96;0.31;0.5962;0.0238;82.58;128906.2;141601.6
1292;3;6132.6137245;2;73.4;52.6;52575.927734375;3161.1;32768;69.9;50.6;1;65;157.5;69.3;24.88;7.06;13.7;14.58;0.3815;1.94;-0.8;0.6982;0.1595;8.16;69335.9;783203.1
1361;3;6468.179606199999;2;78.0;218.2;204078.369140625;3058.7;32768;69.9;16.3;10;66;54.8;24.4;14.65;5.91;9.92;9.24;0.1496;1.68;-0.37;0.6055;0.022;66.61;24414.1;132812.5
1370;3;6506.2171871;2;107.4;3987.3;193395968.01757812;22023.2;32768;69.9;69.5;159;67;58.5;58.6;10.75;5.6;8.18;6.91;0.1316;1.46;0.07;0.5674;0.0001;3.32;58593.8;129882.8
1371;2;6506.2172167;1;111.0;6503.1;1081776971.1914062;40785.9;32768;69.9;116.9;58;68;28.0;2.7;462.55;19.44;102.25;112.3;0.0135;5.26;0.79;0.4918;0.0301;38.16;2716.1;27710.0
1426;3;6778.0568066999995;2;75.7;78.6;100516.845703125;3575.8;32768;69.9;6.6;5;69;114.4;73.2;25.44;6.47;13.25;13.4;0.1155;2.05;-0.46;0.6641;0.0923;17.33;73242.2;484375.0
1429;2;6790.1977096;1;70.7;2.1;37973.14453125;13447.2;32768;69.9;1.0;1;70;477.7;0.6;84.0;20.92;37.91;66.3;0.2723;1.81;-0.46;0.9511;0.5362;1.66;610.4;958801.3
1472;3;6996.4612652;2;82.4;199.8;297355.46875;3857.4;32768;69.9;27.9;13;71;96.5;126.0;25.01;7.75;15.21;16.9;0.3945;1.96;-0.08;0.6684;0.031;56.75;125976.6;142578.1
1475;2;7006.3540646;1;79.4;621.1;853765.625;3707.9;32768;69.9;60.6;14;72;448.5;0.5;140.89;17.97;56.71;104.4;0.2587;3.16;-1.56;0.9368;0.5098;1.63;549.3;955535.9
1476;3;7006.354104399999;2;77.1;232.0;280260.25390625;3475.5;32768;69.9;98.3;21;73;113.1;127.0;9.54;4.39;6.86;6.5;0.7715;1.56;0.05;0.4135;0.0174;67.84;126953.1;133789.1
1495;2;7103.0722085;1;71.8;83.8;107302.490234375;3577.9;32768;69.9;81.6;2;74;477.7;2.8;87.72;18.63;38.78;64.36;0.2744;2.08;0.09;0.9506;0.5345;1.67;2777.1;959075.9
1512;3;7183.5150053;2;70.3;1.8;67992.1875;19435.5;32768;69.9;0.1;1;75;31.8;14.6;7.89;4.31;5.99;5.07;0.0091;1.39;0.48;0.3766;0.023;51.16;14648.4;26367.2
1515;3;7188.1161489;2;71.5;7.0;91634.521484375;11441.2;32768;69.9;3.5;1;76;32.6;13.7;8.47;4.05;6.03;5.31;0.0094;1.49;0.37;0.4042;0.0231;51.35;13671.9;27343.8
1516;3;7192.717022899999;2;70.3;41.0;82115.234375;4474.9;32768;69.9;0.1;2;77;35.3;13.7;8.16;3.96;5.86;5.69;0.0106;1.48;0.6;0.4158;0.0271;44.04;13671.9;28320.3
1519;3;7197.3172256;2;71.8;45.7;110903.80859375;4926.5;32768;69.9;40.1;2;78;31.0;24.4;8.35;3.97;5.94;5.33;0.0071;1.5;0.41;0.39;0.0183;66.24;24414.1;26367.2
